"2021/02 Monthly Closing Average Price of 2454"
"Date","Closing Price",
"2021/02/01","905.00",
"2021/02/02","931.00",
"2021/02/03","950.00",
"2021/02/04","946.00",
"2021/02/05","950.00",
"2021/02/17","980.00",
"2021/02/18","978.00",
"2021/02/19","964.00",
"2021/02/22","951.00",
"2021/02/23","965.00",
"2021/02/24","940.00",
"2021/02/25","944.00",
"2021/02/26","896.00",
"Monthly Closing Average Price","946.15",
"Remarks:"
"If the last digit of the 6 digit alphanumeric ETF security code is K, M, S or C, it is traded in foreign currency."

