"2021/04 Monthly Closing Average Price of 2330"
"Date","Closing Price",
"2021/04/01","602.00",
"2021/04/06","610.00",
"2021/04/07","610.00",
"2021/04/08","613.00",
"2021/04/09","610.00",
"2021/04/12","605.00",
"2021/04/13","605.00",
"2021/04/14","612.00",
"2021/04/15","619.00",
"2021/04/16","610.00",
"2021/04/19","603.00",
"2021/04/20","602.00",
"2021/04/21","592.00",
"2021/04/22","591.00",
"2021/04/23","602.00",
"2021/04/26","610.00",
"2021/04/27","610.00",
"2021/04/28","602.00",
"2021/04/29","600.00",
"Monthly Closing Average Price","605.68",
"Remarks:"
"If the last digit of the 6 digit alphanumeric ETF security code is K, M, S or C, it is traded in foreign currency."

