"2021/06 Monthly Closing Average Price of 2303"
"Date","Closing Price",
"2021/06/01","52.20",
"2021/06/02","52.00",
"2021/06/03","55.00",
"2021/06/04","53.00",
"2021/06/07","52.30",
"2021/06/08","52.20",
"2021/06/09","50.70",
"2021/06/10","51.50",
"2021/06/11","51.80",
"2021/06/15","53.70",
"2021/06/16","52.40",
"2021/06/17","53.30",
"2021/06/18","52.20",
"2021/06/21","51.20",
"2021/06/22","51.00",
"2021/06/23","53.00",
"2021/06/24","53.00",
"2021/06/25","52.90",
"2021/06/28","52.60",
"2021/06/29","53.00",
"2021/06/30","53.10",
"Monthly Closing Average Price","52.48",
"Remarks:"
"If the last digit of the 6 digit alphanumeric ETF security code is K, M, S or C, it is traded in foreign currency."

